file_name,Paper Name,Model,Top-1 Accuracy,,comments,Gted
2506.10119v1.pdf,Detecção da Psoríase Utilizando Visão Computacional: Uma Abordagem Comparativa Entre CNNs e Vision Transformers,,0,,,
2506.08353v1.pdf,An Adaptive Method Stabilizing Activations for Enhanced Generalization,,73.8,,imagenet,
2506.08735v1.pdf,InceptionMamba: An Efficient Hybrid Network with Large Band Convolution and Bottleneck Mamba,,0,,imagenet subset,
2506.08906v1.pdf,Hyperbolic Dual Feature Augmentation for Open-Environment,,0,,imagenet subset,
2505.24088v1.pdf,Proxy-FDA: Proxy-based Feature Distribution Alignment for Fine-tuning Vision Foundation Models without Forgetting,,0,,finetune imagenet,
2505.23933v1.pdf,BIRD: Behavior Induction via Representation-structure Distillation,,0,,imagenet subset,
2505.19699v1.pdf,Mosaic: Data-Free Knowledge Distillation via Mixture-of-Experts for Heterogeneous Distributed Environments,,0,,imagenet subset,
2505.19373v1.pdf,DiSa: Directional Saliency-Aware Prompt Learning for Generalizable Vision-Language Models,,0,,imagenet subset,
2505.19779v1.pdf,Advancements in Medical Image Classification through Fine-Tuning Natural Domain Foundation Models,,0,,,
2505.17579v1.pdf,Ownership Verification of DNN Models Using White-Box Adversarial Attacks with Specified Probability Manipulation,,0,,,
2505.16923v1.pdf,TULiP: Test-time Uncertainty Estimation via Linearization and Weight Perturbation,,0,,,
2505.16313v1.pdf,Accelerating Targeted Hard-Label Adversarial Attacks in Low-Query Black-Box Settings,,0,,,
2505.14062v1.pdf,Scaling Vision Mamba Across Resolutions via Fractal Traversal,,0,,,
2505.14124v1.pdf,Intra-class Patch Swap for Self-Distillation,,0,,,
2505.12844v2.pdf,AGI-Elo: How Far Are We From Mastering A Task?,,0,,,
2505.13137v1.pdf,Learning to Adapt to Position Bias in Vision Transformer Classifiers,,0,,,
2505.13432v1.pdf,Synthetic-Powered Predictive Inference,,0,,,
2505.13317v3.pdf,Unlabeled Data or Pre-trained Model: Rethinking Semi-Supervised Learning and Pretrain-Finetuning,,0,,,
2505.09358v1.pdf,Marigold: Affordable Adaptation of Diffusion-Based Image Generators for Image Analysis,,0,,,
2505.03303v1.pdf,Comparative Analysis of Lightweight Deep Learning Models for Memory-Constrained Devices,,0,,,
2504.08710v1.pdf,"Hypergraph Vision Transformers: Images are More than Nodes, More than Edges",,0,,,
2504.08368v1.pdf,FocalLens: Instruction Tuning Enables Zero-Shot Conditional Image Representations,,0,,,
2504.08186v1.pdf,Comparative Analysis of Different Methods for Classifying Polychromatic Sketches,,0,,,
2504.11467v2.pdf,MultiCore+TPU Accelerated Multi-Modal TinyML for Livestock Behaviour Recognition,,0,,,
2504.05583v1.pdf,Gaze-Guided Learning: Avoiding Shortcut Bias in Visual Classification,,0,,,
2504.04130v1.pdf,Scaling Federated Learning Solutions with Kubernetes for Synthesizing Histopathology Images,,0,,,
2504.00564v2.pdf,Geometric Median Matching for Robust k-Subset Selection from Noisy Data,,0,,,
2503.24017v1.pdf,Crossmodal Knowledge Distillation with WordNet-Relaxed Text Embeddings for Robust Image Classification,,0,,,
2503.18817v1.pdf,Enhanced OoD Detection through Cross-Modal Alignment of Multi-Modal Representations,,0,,,
2503.12206v2.pdf,TLAC: Two-stage LMM Augmented CLIP for Zero-Shot Classification,,0,,,
2502.20087v2.pdf,OverLoCK: An Overview-first-Look-Closely-next ConvNet with Context-Mixing Dynamic Kernels,,0,,,
2502.19777v2.pdf,InPK: Infusing Prior Knowledge into Prompt for Vision-Language Models,,0,,,
2502.10120v1.pdf,Compress image to patches for Vision Transformer,,0,,,
2502.07821v1.pdf,Amnesia as a Catalyst for Enhancing Black Box Pixel Attacks in Image Classification and Object Detection,,0,,,
2502.04378v1.pdf,DILLEMA: Diffusion and Large Language Models for Multi-Modal Augmentation,,0,,,
2502.03238v2.pdf,Long-tailed Medical Diagnosis with Relation-aware Representation Learning and Iterative Classifier Calibration,,0,,,
2502.02118v1.pdf,BRIDLE: Generalized Self-supervised Learning with Quantization,,0,,,
2502.01247v2.pdf,"Polynomial, trigonometric, and tropical activations",,0,,,
2502.00571v1.pdf,Contrastive Forward-Forward: A Training Algorithm of Vision Transformer,,0,,,
2501.16677v1.pdf,Improving Interpretability and Accuracy in Neuro-Symbolic Rule Extraction Using Class-Specific Sparse Filters,,0,,,
2501.14484v2.pdf,$SpikePack$: Enhanced Information Flow in Spiking Neural Networks with High Hardware Compatibility,,0,,,
2501.13389v1.pdf,AEON: Adaptive Estimation of Instance-Dependent In-Distribution and Out-of-Distribution Label Noise for Robust Learning,,0,,,
2501.11231v1.pdf,KPL: Training-Free Medical Knowledge Mining of Vision-Language Models,,0,,,
2501.10640v2.pdf,ClusterViG: Efficient Globally Aware Vision GNNs via Image Partitioning,,0,,,
2501.10064v1.pdf,One-D-Piece: Image Tokenizer Meets Quality-Controllable Compression,,0,,,
2501.10040v1.pdf,LWGANet: A Lightweight Group Attention Backbone for Remote Sensing Visual Tasks,,0,,,
2501.09705v1.pdf,Practical Continual Forgetting for Pre-trained Vision Models,,0,,,
2501.08816v2.pdf,IDEA: Image Description Enhanced CLIP-Adapter,,0,,,
2501.08562v1.pdf,MIAFEx: An Attention-based Feature Extraction Method for Medical Image Classification,,0,,,
2501.07808v1.pdf,A Low-cost and Ultra-lightweight Binary Neural Network for Traffic Signal Recognition,,0,,,
2501.07783v1.pdf,Parameter-Inverted Image Pyramid Networks for Visual Perception and Multimodal Understanding,,0,,,
2501.06862v1.pdf,LarvSeg: Exploring Image Classification Data For Large Vocabulary Semantic Segmentation via Category-wise Attentive Classifier,,0,,,
2501.04897v1.pdf,"Online Continual Learning: A Systematic Literature Review of Approaches, Challenges, and Benchmarks",,0,,,
2501.01420v2.pdf,A Multi-task Supervised Compression Model for Split Computing,,0,,,
2412.20110v3.pdf,Cross-Modal Mapping: Mitigating the Modality Gap for Few-Shot Image Classification,,0,,,
2412.18790v1.pdf,Torque-Aware Momentum,,0,,,
2412.18178v2.pdf,VisionGRU: A Linear-Complexity RNN Model for Efficient Image Analysis,,0,,,
2412.17684v2.pdf,COBRA: COmBinatorial Retrieval Augmentation for Few-Shot Adaptation,,0,,,
2412.16602v1.pdf,"V""Mean""ba: Visual State Space Models only need 1 hidden dimension",,0,,,
2412.16780v2.pdf,Forget Vectors at Play: Universal Input Perturbations Driving Machine Unlearning in Image Classification,,0,,,
2412.15571v1.pdf,Continual Learning Using a Kernel-Based Method Over Foundation Models,,0,,,
2412.16146v2.pdf,Mamba2D: A Natively Multi-Dimensional State-Space Model for Vision Tasks,,0,,,
2412.15077v1.pdf,Till the Layers Collapse: Compressing a Deep Neural Network through the Lenses of Batch Normalization Layers,,0,,,
2412.11917v3.pdf,Does VLM Classification Benefit from LLM Description Semantics?,,0,,,
2412.11501v1.pdf,Explicit and Implicit Graduated Optimization in Deep Neural Networks,,0,,,
2412.11237v1.pdf,On the Generalizability of Iterative Patch Selection for Memory-Efficient High-Resolution Image Classification,,0,,,
2412.10995v1.pdf,RapidNet: Multi-Level Dilated Convolution Based Mobile Backbone,,0,,,
2412.08139v1.pdf,Wasserstein Distance Rivals Kullback-Leibler Divergence for Knowledge Distillation,,0,,,
2412.02366v3.pdf,GenMix: Effective Data Augmentation with Generative Diffusion Model Image Editing,,0,,,
2411.19671v6.pdf,On the Performance Analysis of Momentum Method: A Frequency Domain Perspective,,0,,,
