file_name,Paper Name,Model,Top-1 Accuracy,Top-5 Accuracy,page_key
1512.03385v1.pdf,Deep Residual Learning for Image Recognition,ResNet-152,-,96.43%,6
1703.09844v5.pdf,Multiscale Dense Networks for Resource Efficient Image Classification,MSDNet,75%,-,9
1803.00942v3.pdf,Not All Samples Are Created Equal: Deep Learning with Importance Sampling,ResNet-50,-,-,7
1807.10108v5.pdf,Effects of Degradations on Deep Neural Network Architectures,V-CapsNet ,-,-,6
1807.10119v3.pdf,A Unified Approximation Framework for Compressing and Accelerating Deep Neural Networks,AlexNet,-,80%,7
1807.11164v1.pdf,ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design ,ShuffleNet v2-50,77.20%,-,13
1807.11254v2.pdf,Extreme Network Compression via Filter Group Approximation,VGG16,77.86,78.07,9
1807.11459v1.pdf,Improving Transferability of Deep Neural Networks,ResNet-27,-,-,-1
1807.11626v3.pdf,MnasNet: Platform-Aware Neural Architecture Search for Mobile ,MnasNet ,75.20%,-,8
1909.11155v1.pdf,Anchor Loss: Modulating Loss Scale based on Prediction Difficulty,ResNet-50,76.82%,93.03%,6
1909.13863v1.pdf,XNOR-Net++: Improved Binary Neural Networks,Binary ResNet-18,57.10%,79.90%,6
omniVec_2023.pdf,OmniVec: Learning robust representations with cross modal sharing,OminiVec (FT),92.40%,-,10
Sharma_Classification-Driven_Dynamic_Image_CVPR_2018_paper.pdf,Classification-Driven Dynamic Image Enhancement ,,-,-,8
Tamaazousti_MuCaLe-Net_Multi_Categorical-Level_CVPR_2017_paper.pdf,MuCaLe-Net: Multi Categorical-Level Networks to Generate More Discriminating Features ,MuCaLe-Net ,-,-,6
Xiao_Learning_From_Massive_2015_CVPR_paper.pdf,Learning from Massive Noisy Labeled Data for Image Classification ,,-,-,-1
Xie_Hyper-Class_Augmented_and_2015_CVPR_paper.pdf,Hyper-class Augmented and Regularized Deep Learning for Fine-grained Image Classification ,HAR-CNN ,-,-,-1
Yan_HD-CNN_Hierarchical_Deep_ICCV_2015_paper.pdf,HD-CNN: Hierarchical Deep Convolutional Neural Networks for Large Scale Visual Recognition ,HD-CNN ,37.92,16.62,7
Zhang_Compact_Representation_for_2014_CVPR_paper.pdf,Compact Representation for Image Classification: To Choose or to Compress? ,,-,-,-1
Zhang_Supplementary_Meta-Learning_Towards_ICCV_2017_paper.pdf,Supplementary Meta-Learning: Towards a Dynamic Model For Deep Neural Networks ,MLNN ,-,-,-1
Zhao_Saliency_Detection_by_2015_CVPR_paper.pdf,Saliency Detection by Multi-Context Deep Learning ,,67,-,-1
